GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	BAT Photon Index 90% Error (15-150 keV)	XRT RA (J2000)	XRT Dec (J2000)	XRT Time to First Observation [sec]	XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT Initial Temporal Index	XRT Spectral Index (Gamma)	XRT Column Density (NH) [10^21 cm^-2]	UVOT RA (J2000)	UVOT Dec (J2000)	UVOT 90% Error Radius [arcsec]	UVOT Time to First Observation [sec]	UVOT Magnitude	UVOT Other Filter Magnitudes	Other Observatory Detections	Redshift	Host Galaxy	Comments	References	Burst Advocate
090815C	23:21:39	360068	64.490	-65.943	2.7	0.6	0.44	0.12	0.6	0.2	0.90, PL	0.47	n/a	n/a	21960	<0.007	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a				No GCN Notices were issued because the trigger was below the normal acceptance level.  Also, the spacecraft did not execute an automated slew to the location because of an Earth observing constraint.		Jay Cummings
090621B	22:07:25	355359	313.455	69.034	1.7	0.14	0.70	0.10	3.9	0.5	0.82, PL	0.23	20:53:52.96	69:01:41.4	n/a	n/a	0.0021092344	0.0012116494	-0.7106	3.71738	7.65911	n/a	n/a	n/a	76	V>20.67	B>21.88|U>21.77|UVW1>21.63|UVM2>21.32|UVW2>20.50|White>22.29	Fermi (GBM)			UVOT: no detection		Peter Curran
090515	04:45:09	352108	164.166	14.469	2.1	0.036	0.2	0.03	5.7	0.9	0.05, CPL	1.36	10:56:36.30	14:26:30.8	63.85	52.2	0.000000000016649885	0.0000000000004058075	-4.761	2.53489	0.1940550436	n/a	n/a	n/a	67	V>19.62	B>20.70|U>20.40|UVW1>20.01|UVM2>20.16|UVW2>20.48|White>21.24				UVOT: no detection		Andy Beardmore
090510	00:23:00	351588	333.552	-26.598	1.7	0.3	3.4	0.4	9.7	1.1	0.98, PL	0.20	22:14:12.55	-26:34:59.3	94.10	n/a	0.00471152	0.000922584	-0.6571	1.75106	0.439356	22:14:12.5	-26:34:59.2	0.61	80	V=18.46	B>19.62|U=19.05|UVW1=18.61|UVM2=18.10|UVW2=18.31|White=18.76	Fermi (LAT), Fermi (GBM), NOT, AGILE, Konus-Wind, La Silla (2.2m), VLT, Suzaku	0.903 (VLT: emission)				Erik Hoversten
090426	12:48:47	350479	189.082	32.978	1.7	1.2	1.8	0.3	2.4	0.3	1.93, PL	0.22	12:36:18.07	32:59:08.8	84.62	n/a	0.024033444	0.01149863	-0.945	2.03664	2.04663	12:36:18.07	32:59:09.6	0.5	89	V=19.04	U=18.11|B=18.92|UVW1>19.92|UVM2>19.63|UVW2>19.82|White=17.52	TNT, Keck-I, MITSuME (50cm), Okayama Astrophysical Observatory (188cm), ESO/MPI (2.2m), VLT, Gao-Mei-GU (2.4m), Gunma Astronomical Observatory (150cm), AZT-11	2.609 (Keck-I: absorption)|2.609 (VLT: absorption)				Jay Cummings
090417A	13:17:23	349447	34.993	-7.141	2.8	0.072	0.19	0.05	3.6	1.0	0.65, CPL	2.11	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a				Due to an observing constraint, Swift cannot slew to the BAT position. There will thus be no XRT or UVOT data for this trigger. This location will not come out of constraint until 02 Jun 2009.		Vanessa Mangano
090305A	05:19:51	345127	241.764	-31.572	2.3	0.4	0.75	0.13	1.9	0.4	0.86, PL	0.33	n/a	n/a	103.4	0.55	n/a	n/a	~0.8	n/a	n/a	n/a	n/a	n/a	78	V>20.6	B>21.8|U>20.6|UVW1>20.6|UVM2>20.3|UVW2>21.6|White>20.6	Gemini South, Magellan/Baade (6.5m)			XRT: no position reported		Andy Beardmore
081226A	01:03:37	338177	120.478	-69.014	2.1	0.4	0.99	0.18	2.4	0.4	1.36, PL	0.29	n/a	n/a	94.58	n/a	0.00001349817	0.0000029494014	-1.95	3.27129	11.4449	n/a	n/a	n/a	156	V>19.24	B>20.13|U>20.87|UVW1>19.71|UVM2>19.51|UVW2>19.83	Fermi GBM			UVOT: no detection		Olivier Godet
081101	11:46:31	333320	95.836	-0.112	1.7	0.20	0.62	0.10	3.6	0.5	0.24, CPL	1.12	n/a	n/a	111	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	Fermi			Swift did not slew because of the low merit value assignment because of the chance spatial coincidence with the A0620-00 blackhole candidate source.|It is possible this is SGR 0623-0006.|XRT: no detection		Mike Stamatikos
081024A	05:53:0	332516	27.891	61.352	1.7	1.8	1.2	0.2	1.1	0.1	1.23, PL	0.21	01:51:29.81	61:19:52.3	72.26	n/a	0.00000000001277948	0.0000000000003166975	-4.74	1.72206	11.86648	n/a	n/a	n/a	76	V>18.5	B>19.6|U>20.1|UVW1>20.2|UVM2>20.5|UVW2>20.6|White>20.8				This appears to be a short hard GRB with a precursor and a fading X-ray afterglow.  We note that the position in galactic coordinates is l=130deg, b=-0.7 deg.  It is not impossible that this is a galactic transient or even an SGR.|UVOT: no detection		Giulia Stratta
080919	00:05:13	325268	265.221	-42.375	1.9	0.6	0.72	0.11	1.2	0.2	1.10, PL	0.26	17:40:53.78	-42:22:05.7	70.76	n/a	0.000008545605	0.0000013973237	-2.321	2.93262	11.85729	n/a	n/a	n/a	82	V>17.2	B>18.3|U>19.6|UVW1>20.4|UVM2>20.4|UVW2>20.8|White>18.4						Barbara Preger
080905A	11:58:54	323870	287.663	-18.865	2.1	1.0	1.4	0.2	1.3	0.2	0.85, PL	0.24	19:10:41.78	-18:52:48.6	130.38	n/a	0.00006135598	0.000010189144	-2.301	1.52991	2.14486	n/a	n/a	n/a	114	V>20.6	B>18.9|U>19.2|UVW1>18.8|UVM2>19.2|UVW2>18.1|White>21.3	NOT, VLT, Fermi (GBM)			UVOT: no detection		Claudio Pagani
